"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C4,C6","3","47u","","","","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","~"
"C5","1","10p","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7,C8,C11","3","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C9","1","0.1u","","","","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","~"
"C10","1","10n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C12","1","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D4","2","US1KFA","","","","us1kfa:SOD-123FA_ONS","US1KFA"
"D2","1","CMDSH2-3 TR PBFREE","","","","cmdsh2-3:SDO_CMDSH2-3 TR PBFREE_CNS","CMDSH2-3 TR PBFREE"
"D3","1","12V","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"F1","1","Fuse","","","","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1,J2,J3","3","Conn_01x02_Pin","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","~"
"LM1","1","LM311","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm311.pdf"
"Q1","1","TK3P80E","","","","tk3p80e:DPAK_TOS","https://toshiba.semicon-storage.com/info/docget.jsp?did=14695&prodName=TK3P80E"
"Q2","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"R1","1","2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","2k2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1","21.5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5","1","2.49k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6,R13,R14","3","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7","1","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8,R9,R10,R11","4","249k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","1","25k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R15","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R16,R17","2","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R18","1","200mR","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R19","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RPT129-1","1","1mH","","","","Library:rpt129",""
"U1","1","TL431DBZ","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"U2","1","LT8316EFE-PBF","","","","lt8316:05-08-1990_ADI","https://www.analog.com/media/en/technical-documentation/data-sheets/LT8316.pdf"
"Z1","1","CMHZ4107_TR_PBFREE","","","","cmhz4107:SOD3816X135N","https://my.centralsemi.com/datasheets/CMHZ4099-4125.PDF"
