"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BT10,BT11,BT12,BT13,BT14","14","Battery_Cell","DNP","Excluded from BOM","Excluded from board","","~"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C17,CAP1,CAP2,CAP3,Cx1,Cx2,Cx3","21","1uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C15","1","0.1uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C16,C31,C32","3","4.7uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C18,C19","2","12pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C20,C21,C22,C23,C25,C26,C27,C35,C36","9","100nF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C24,C30,Cf1,Cf2,Cf3","5","10uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C28,C29","2","22pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C33,C34","2","330uF","","","","RMC_Capacitor:CP_Radial_D6.3mm_P2.50mm_handsolder","~"
"D1,D2,D3,D4,D5","5","1N4148W","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D6","1","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4","~"
"J1","1","559010274","","","","CON_550910274_MOL:CON_550910274_MOL","~"
"J2","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"J3,J4","2","Conn_01x05","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical","~"
"JP1,JP2,JP3,JP4","4","SolderJumper_2_Open","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"L1","1","47uH","","","","RMC_Inductor:L_10.4x10.4_H4.8_handsolder","~"
"Q1","1","KY2N7002","","","","RMC_SOT:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"Q2","1","AO3402","","","","RMC_SOT:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"Q3","1","NCE60P04Y","","","","RMC_SOT:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Rx1,Rx2,Rx3","17","1k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R15","1","500k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R16,R27","2","10M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R17,R19,R24,R26,R28,R29,R30,R32,R33,R34,R35,R36,RBOOT1","13","10k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R18,R20,R22","3","4.7k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R21,R31","2","120R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R23,R25","2","174k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"Rf1,Rf2,Rf3","3","100R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"U1","1","BQ76940DBT","","","","Package_SO:TSSOP-44_4.4x11.2mm_P0.5mm","http://www.ti.com/lit/ds/symlink/bq76940.pdf"
"U2","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U3","1","MCP2515-xST","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U4","1","ISO1050DUB","","","","Package_SO:SOP-8_6.62x9.15mm_P2.54mm","http://www.ti.com/lit/ds/symlink/iso1050.pdf"
"U5","1","B0505S-2WR3","","","","B0505S-2W3R:B_S-2WR2_MNS","B0505S-2WR3"
"U6","1","LM2576HVS-3.3","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf"
"Y1","1","20MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
"Y2","1","8MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
