"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AIR_H?,AIR_L?,OBCrelay?","3","KILOVAC EV200-HAANA","","","","","~"
"BMS?,IMD?,J30","3","Conn_01x02","","","","","~"
"BT1,BT2,BT3","3","Battery_Cell","","","","","~"
"D1","1","AMS","","","","","~"
"D2","1","TSAL_G","","","","","~"
"EMARX208_HV_LC?","1","SCREW_TERMINAL","","","","","~"
"F1","1","A50QS200,Littelfuse 0885001.DR 1A","","","","","~"
"F2","1","10A fuse","","","","","~"
"F3","1","50A fuse","","","","","~"
"F4","1","15A fuse","","","","","~"
"F5","1","Fuse","","","","","~"
"Fuse1","1","Littelfuse0885001.DR","","","","","~"
"Fuse?","1","Littelfuse L50QS150 150A","","","","","~"
"HVD?","1","MINIMSD1000F","","","","","~"
"J1","1","Conn_01x05,amphenol pl00x and pl00y,~","","","","RMC_Connnector:HD241_24pin","~"
"J2,J31","2","Conn_01x06","","","","","~"
"J2","1","CAN-BUS,TSAL_R,~","","","","RMC_Connnector:HD241_24pin","~"
"J3","1","Amphenol PL00x-301-10M8,Conn_01x08","","","","","~"
"J4","1","TSMP","","","","","~"
"J5,J27","2","Amphenol RT00122PM03","","","","","~"
"J7,J29","2","Amphenol RT001619PNH","","","","","~"
"J8","1","DALY K40 BMS","","","","","~"
"J9","1","Amphenol RT0W0106PN03","","","","","~"
"J10,J17,J18","3","Amphenol PL00Y-301-10M8","","","","","~"
"J11","1","Amphenol RT00104PN03","","","","","~"
"J12,J16","2","Amphenol PL00X-301-10M8","","","","","~"
"J13","1","AT04-4P-PM11","","","","","~"
"J14,J25,J28","3","紅色儲能接綫柱100A","","","","","~"
"J15","1","黑色儲能接綫柱100A","","","","","~"
"J19","1","Amphenol RT001619SNHEC03","","","","","~"
"J20","1","Bender Isometer IR155-3203","","","","","~"
"J21","1","KLclear BMS","","","","","~"
"J22","1","Activation Logic","","","","","~"
"J23,J26","2","AT04-3P-PM05","","","","","~"
"J24","1","TE HVP800","","","","","~"
"J32","1","TSAL","","","","","~"
"J33","1","LEM DHAB S/124","","","","","~"
"J34","1","Conn_01x19","","","","","~"
"K1","1","DISCHARGE RELAY GIGAVAC PNC113BDA","","","","","~"
"K2,K3,K4","3","EV200-HAANA","","","","Relay_THT:Relay_DPST_Omron_G2RL-2A","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"K5","1","PNC113BDA","","","","","~"
"MES1","1","High Voltage indicator","","","","","~"
"pl00xinterlock?","1","amphenolpl00x","","","","","~"
"POWER_METER?","1","FSEC_POWER_METER","","","","","~"
"Precharge?","1","GIGAVACPNC113BDA","","","","","~"
"precharge_resistor?","1","ARCOLAP101 3K9","","","","","~"
"R1,R2","2","15k,3k","","","","","~"
"R3","1","15k,1k5","","","","","~"
"R4","1","Discharge  Resistor","","","","","~"
"R5","1","Precharge Resistor","","","","","~"
"SW1","1","LVMS","","","","","~"
"SW2","1","IMD,SW_Push_Open","","","","","~"
"SW3","1","AMS","","Excluded from BOM","Excluded from board","","~"
"SW4","1","TSMS","","","","","~"
"SW5","1","Cockpit Shutdown Button","","","","","~"
"SW6","1","Left Shutdown Button","","","","","~"
"SW7","1","Right Shutdown Button","","","","","~"
"SW8","1","Inertia Switch","","","","","~"
"SW9,SW19","2","BOTS","","","","","~"
"SW10","1","TSMP Interlock","","","","","~"
"SW11","1","Motor Controller HVP800 Interlock","","","","","~"
"SW12,SW14","2","PL00X-301-50 Interlock","","","","","~"
"SW13,SW15","2","PL00Y-301-50 Interlock","","","","","~"
"SW16","1","MINIMSDF000F HVD Interlock","","","","","~"
"SW17","1","BSPD","","","","","~"
"SW18","1","BAMOCAR","","","","","~"
"U1","1","dumb ass dcdc 15V8A 120W","","","","Converter_DCDC:Converter_DCDC_TRACO_TDN_5-xxxxWISM_SMD","https://assets.tracopower.com/20190626081517/TDN5WISM/documents/tdn5wism-datasheet.pdf"
"U2","1","CCCV 300W","","","","Package_TO_SOT_THT:TO-220-5_Vertical","http://ww1.microchip.com/downloads/en/DeviceDoc/lm2575.pdf"
