"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C6,C9,C10,C11,C12","8","0.1uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C2","1","10n","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C4","1","1uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C7","1","0.33uF","","Excluded from BOM","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C8","1","2.2uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"D1","1","12V","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D2","1","D","","","","Diode_SMD:D_SMA_Handsoldering","~"
"D3,D4,D5","3","LED","","","","RMC_LED:LED_0805_2012Metric_Pad1.45x1.40mm_HandSolder","~"
"D6,D7,D8","3","LED","","Excluded from BOM","Excluded from board","RMC_LED:LED_0805_2012Metric_Pad1.45x1.40mm_HandSolder","~"
"F1","1","Fuse","","","","Fuse:Fuse_Littelfuse-NANO2-885","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4","~"
"J1,J2,J3,J4,J5,J6,J11","7","Conn_01x02_Pin","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","~"
"J7","1","Conn_01x03_Pin","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal","~"
"LM1","1","LM311","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","http://www.ti.com/lit/ds/symlink/lm311.pdf"
"R1","1","2k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R2","1","10k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R3,R5,R6,R7","4","249k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R4","1","2k2","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R8","1","25k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R9,R13,R20,R22,R24","5","1k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R10,R11","2","100R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R12","1","1M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R14,R19,R21,R23,R25","5","4.7k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R15,R18","2","12k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R16,R17","2","82k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R26,R30,R32","3","1k","","Excluded from BOM","Excluded from board","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R27,R29,R31","3","10k","","Excluded from BOM","Excluded from board","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R28,R33,R34","3","4.7k","","Excluded from BOM","Excluded from board","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"U1","1","TLV431","","","","RMC_SOT:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"U2","1","LTV-847S","","Excluded from BOM","Excluded from board","Package_DIP:SMDIP-16_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"U3","1","LTV-817S","","","","Package_DIP:SMDIP-4_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"U4","1","B1212","","","","my_kicad_lib:Converter_DCDC_F1212","https://www.tracopower.com/products/tba2.pdf"
"U5","1","uA7805","","","","RMC_TO:TO-252-2","http://www.ti.com/lit/ds/symlink/ua78.pdf"
"U6,U7,U8","3","LM393","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","http://www.ti.com/lit/ds/symlink/lm393.pdf"
