"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C10,C15,C18,C19,C20,C21,C22,C23,C24,C25,C28,C29,C30,C31,C32,C35,C36,C37,C38,CA1,CA2,CA3,CA4,CA5","27","100nF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C2,C7","2","10uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C5,C6","2","20pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"C8","1","100uF","","","","RMC_Capacitor:CP_Radial_D6.3mm_P2.50mm_handsolder","~"
"C14","1","330uF","","","","RMC_Capacitor:CP_Radial_D6.3mm_P2.50mm_handsolder","~"
"C16,C17,C26,C27,C33,C34","6","12pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~"
"D1","1","SS32","","","","Diode_SMD:D_SMA_Handsoldering","~"
"D2,D3,D4,D5,D6,D7,D8,D9","8","LED","","","","RMC_LED:LED_0805_2012Metric_Pad1.45x1.40mm_HandSolder","~"
"F1","1","12V 3A","","","","Fuse:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","RMC_MountingHole:MountingHole_3.2mmx5mm_M3_ISO7380","~"
"J1,J2","2","~","","","","RMC_Connnector:HD241_24pin",""
"J3","1","AVR-ISP-6","","","","RMC_Connnector:PinHeader_2x03_P2.54mm_Vertical_handsolder","~"
"J4","1","Conn_01x03","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J5","1","Conn_01x04","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"JP1,JP2,JP3,JP5","4","Jumper_3_Open","","Excluded from BOM","","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","~"
"L1","1","330uH","","","","RMC_Inductor:L_TDK_SLF12575","~"
"Q1,Q3,Q5,Q7,Q9,Q11,Q13","7","MMBT3904","","","","RMC_SOT:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf"
"Q2,Q4,Q6,Q8","4","BSC030P03NS3","","","","RMC_SO:Infineon_PG-TDSON-8_6.15x5.15mm","https://ngspice.sourceforge.io/docs/ngspice-manual.pdf"
"Q10,Q12,Q14","3","AO3401A","","","","RMC_SOT:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"R1,R2,R74","3","47k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R3,R21,R30,R71","4","10M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R4","1","4k7","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R5,R6,R7,R9,R10,R11,R13,R14,R15,R17,R18,R19,R29,R33,R34,R35,R40,R41,R42,R43,R44,R53,R54,R55,R56,R57,R58,R59,R61,R62,R63,R65,R66,R67,R69","35","1k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R8,R12,R16,R20,R60,R64,R68","7","100k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R22,R31,R36,R37,R38,R39,R72","7","10k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R23,R32,R73","3","120R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R24,R25,R26,R27","4","R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R28","1","330R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"R45,R46,R47,R48,R49,R50,R51,R52","8","4.7k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","ATmega328P-A","","","","RMC_QFP:TQFP-32_7x7mm_P0.8mm_L","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","LM2575-5.0BU","","","","RMC_TO:TO-263-5_TabPin3_Long","http://ww1.microchip.com/downloads/en/DeviceDoc/lm2575.pdf"
"U4,U8,U14","3","MCP2515-xST","","","","RMC_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U5,U9,U15","3","TJA1051T","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","http://www.nxp.com/docs/en/data-sheet/TJA1051.pdf"
"U6,U7","2","OP07","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","https://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf"
"U10","1","40106","","","","RMC_SO:SOIC127P600X175-14N","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf"
"U11,U12","2","LTV-847S","","","","to be sorted:SMDIP-16_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"U13","1","SGM722","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"Y1","1","16MHz","","","","RMC_Crystal:Crystal_HC49-U_Vertical_W_SMD_Handolder","~"
"Y2,Y3,Y4","3","20MHz","","","","RMC_Crystal:Crystal_HC49-U_Vertical_W_SMD_Handolder","~"
