"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AVR-ISP1","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"C1","1","100nF","","","Excluded from board","Better_Handsolder:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C2,C9,C12,C35","4","10uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C3,C37,C38","3","22uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C4","1","75pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C5,C7,C8,C18,C22,C23,C28,C29,C32,C33,C34,C36","12","100nF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C10,C11,C24,C25,C26,C27,C30,C31","8","22pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"C13","1","35V/100uF","","","Excluded from board","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C19,C20","2","100n","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L",""
"D1,D2,D3","3","LED","","","","RMC_LED:LED_0805_2012Metric_Pad1.45x1.40mm_HandSolder",""
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_3.2mm_M3",""
"J3,J4,J6","3","Conn_01x04_Socket","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J5","1","Conn_01x02_Socket","","","","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical",""
"J7,J11,J12,J13","4","Conn_01x02_Socket","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J9","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Molex_104031-0811","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"L2","1","10uH","","","","Inductor_SMD:L_6.3x6.3_H3",""
"M1","1","HC-12","","","","HC-12:MA05-1",""
"R1,R2,R4","3","1k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R3","1","4.7k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R5,R6,R13,R14,R22","5","4k7","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R7,R16,R21","3","120","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R8,R10,R19,R86","4","10M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R9,R11,R12,R15,R18,R20,R25,R26,R27,R30,R31","11","10k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R17","1","13.3k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R23","1","100k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R24","1","49.9","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R28,R29","2","3.3k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R39","1","511k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"R40","1","105k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_CK_RS282G05A3",""
"U1","1","ATmega328-A","","","","RMC_QFP:TQFP-32_7x7mm_P0.8mm_L","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","AMS1117","","","","RMC_SOT:SOT-223-3_TabPin2_Handsolder","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","TXU0304-Q1","","","","TXU0304-Q1:PW14_TXU0304-Q1_TEX-M","TXU0304-Q1"
"U6","1","TPS54302","","","","RMC_SOT:SOT-23-6_Handsoldering_Extended_RMC","http://www.ti.com/lit/ds/symlink/tps54302.pdf"
"U8,U11,U13","3","TJA1050T_CM_118","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder",""
"U9,U10,U12","3","MCP2515-xST","","","","RMC_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"Y2","1","16MHz","","","","Crystal:Crystal_HC49-U_Vertical",""
"Y5,Y6,Y7","3","20MHz","","","","Crystal:Crystal_HC49-U_Vertical",""
